tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
Óleos de Cozinha,Boa viagem,Sul,Rua Professor Eduardo Wanderley Filho,Ao lado do Condomínio  Ed. Sky Boa Viagem,colegio boa viagem,-8.110761,-34.894612
Óleos de Cozinha,Boa Viagem,Sul,Rua Padre Cabral,Em frente a loja Miss Meria,Colégio Madre de Deus,-8.133723,-34907142
Óleos de Cozinha,Santo Antônio,Centro,Rua Moacir Boracho,Ao lado da Secretaria da fazenda do estado de pernambuco,Tribunal de Justiça (Ed. Paula Batista),-8.062223,-34.876877
Óleos de Cozinha,Engenho do Meio,Oeste,Rua Bom Pastor,1406,Escola Municipal Engenho do Meio,-8.049916,-34.939615
Óleos de Cozinha,Espinheiro,Noroeste,Av. João de Barros,1545/1563,Colégio Saber Viver Espinheiro,-8.041006,-34.891821
Óleos de Cozinha,Graças,Noroeste,Av. Rui Barbosa,1680,Colégio Núcleo,-8.038775,-34.904595
Óleos de Cozinha,Ibura,Sul,Av. Ministro Oliveira Salazar,228,SESI Ibura,-8.109953,-34.937659
Óleos de Cozinha,Ibura,Sul,Av. Pernambuco,Em frete do NÚCLEO DE SEGURANÇA COMUNITÁRIA,Escola Maria Sampaio de Lucena,-8.121299,-34.94675
Óleos de Cozinha,Imbiribeira,Sul,Av. Marechal Mascarenhas de Morais,1919,Central de Juizados Especiais,-8.099596,-34.909465
Óleos de Cozinha,Imbiribeira,Sul,Rua Conego Lira,282,Escola Anita Garibalde,-8.095385,-34.912275
Óleos de Cozinha,Ipsep,Sul,Rua Saturnino Meireles,s/n,EREM Engenheiro Lauro Dinis,-8.114453,-34.921247
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Ibura,Sul,Rua Rio Tapado,s/n,Ecoestação,-8.116730339,-34.9436
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Cohab,Sul,Av. Santos,s/n,Ecoestação,-8.115148417,-34.9536
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Totó,Sudoeste,Rua Onde de Agosto,s/n,Ecoestação,-8.077710064,-34.9718
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Campo Grande,Norte,Avenida Agamenon Magalhães,Com a rua Odorico Mendes,Ecoestação,-8.039064362,-34.8784
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Imbiribeira,Sul,Avenida Mascarenhas de Morais,"Sentido cidade/subúrbio, próximo ao viaduto Tancredo Neves",Ecoestação,-8.123083048,-34.9133
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Arruda,Norte,Rua Professor José dos Anjos,(Ao lado do Habitacional Palha de Arroz,Ecoestação,-8.022630485,-34.88009465
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Torrões,Oeste,Rua Maestro Jones Johnson,s/n,Ecoestação,-8.057749509,-34.93538838
"metal,isopor,papel,plastico,vidro",Madalena,Oeste,Rua Visconde de Albuquerque,Praça Eça de Queiroz,Ecoponto,-8.050744,-34.906654
"metal,isopor,papel,plastico,vidro",Madalena,Oeste,Avenida Abdias de Carvalho,Fcap,Ecoponto,-8.061185,-34.902842
Óleos de Cozinha,Aflitos,Noroeste,Av. Cons. Rosa Silva,SEMAS,,-8.0398523,-34.9015293
Óleos de Cozinha,Areias,Sudoeste,Av. Recife,3587 - EMLURB,,-8.1018629,-34.9304351
